map 31 31
player bot 1 13
camera 14
link
pressureplate 29 29
door 24 14
rock 2 28
zombie 1 1
zombie 29 1
zombie 29 20
zombie 8 10
zombie 2 26
zombie 26 11
zombie 8 16
wall 0 12 12
wall 0 13 12
wall 0 14 12
wall 0 15 12
wall 0 16 12
wall 0 17 12
wall 0 18 12
wall 0 19 12
wall 0 20 12
wall 0 21 12
wall 1 12 13
wall 1 12 14
wall 1 12 15
wall 1 12 16
wall 1 12 17
wall 1 12 18
wall 1 12 19
wall 1 12 20
wall 0 12 21
wall 0 13 21
wall 0 14 21
wall 0 15 21
wall 0 16 21
wall 0 17 21
wall 0 18 21
wall 0 19 21
wall 0 20 21
wall 0 21 21
wall 1 21 13
wall 1 21 14
wall 1 21 17
wall 1 21 18
wall 1 21 19
wall 1 21 20
infotile level5/level5info.txt 1 14
wintile 17 16
infotile level5/plottwist.txt 20 16
wall 1 6 1
wall 1 6 2
wall 0 6 3
wall 0 3 3
wall 0 4 3
wall 0 5 3
wall 0 9 3
wall 0 10 3
wall 0 11 3
wall 0 12 3
wall 0 13 3
wall 0 14 3
wall 0 15 3
wall 0 16 3
wall 0 17 3
wall 0 18 3
wall 0 19 3
wall 0 20 3
wall 0 21 3
wall 0 22 3
wall 0 23 3
wall 0 24 3
wall 0 25 3
wall 0 26 3
wall 0 27 3
wall 1 3 4
wall 1 3 5
wall 1 3 6
wall 1 21 4
wall 1 21 5
wall 1 21 6
wall 0 6 6
wall 0 7 6
wall 0 8 6
wall 0 9 6
wall 0 10 6
wall 0 11 6
wall 0 12 6
wall 0 13 6
wall 0 14 6
wall 0 15 6
wall 0 16 6
wall 0 17 6
wall 0 18 6
wall 1 24 6
wall 0 27 6
wall 0 28 6
wall 0 29 6
wall 1 6 7
wall 1 21 7
wall 1 24 7
wall 1 6 8
wall 1 21 8
wall 1 24 8
wall 0 3 9
wall 0 4 9
wall 0 5 9
wall 1 6 9
wall 0 9 9
wall 0 10 9
wall 0 11 9
wall 0 12 9
wall 0 13 9
wall 0 14 9
wall 0 15 9
wall 0 16 9
wall 0 17 9
wall 0 18 9
wall 0 19 9
wall 0 20 9
wall 0 21 9
wall 0 22 9
wall 0 23 9
wall 0 24 9
wall 0 25 9
wall 0 26 9
wall 0 27 9
wall 1 6 10
wall 1 9 10
wall 1 24 10
wall 1 6 11
wall 1 9 11
wall 1 24 11
wall 0 1 12
wall 0 2 12
wall 0 3 12
wall 0 6 12
wall 0 7 12
wall 0 8 12
wall 1 9 12
wall 0 24 12
wall 0 25 12
wall 0 26 12
wall 0 27 12
wall 1 9 13
wall 1 24 13
wall 1 9 14
wall 0 1 15
wall 0 2 15
wall 0 3 15
wall 0 4 15
wall 0 5 15
wall 0 6 15
wall 1 9 15
wall 1 24 15
wall 0 27 15
wall 0 28 15
wall 0 29 15
wall 1 9 16
wall 1 24 16
wall 1 9 17
wall 1 24 17
wall 0 3 18
wall 0 4 18
wall 0 5 18
wall 0 6 18
wall 0 7 18
wall 0 8 18
wall 1 9 18
wall 1 24 18
wall 0 25 18
wall 0 26 18
wall 0 27 18
wall 1 9 19
wall 1 24 19
wall 1 9 20
wall 1 24 20
wall 0 1 21
wall 0 2 21
wall 0 3 21
wall 0 4 21
wall 0 5 21
wall 0 6 21
wall 1 9 21
wall 1 24 21
wall 0 27 21
wall 0 28 21
wall 0 29 21
wall 1 9 22
wall 1 24 22
wall 1 9 23
wall 1 24 23
wall 0 3 24
wall 0 4 24
wall 0 5 24
wall 0 6 24
wall 0 7 24
wall 0 8 24
wall 0 9 24
wall 0 10 24
wall 0 11 24
wall 0 12 24
wall 0 13 24
wall 0 14 24
wall 0 15 24
wall 0 16 24
wall 0 17 24
wall 0 18 24
wall 0 19 24
wall 0 20 24
wall 0 21 24
wall 0 22 24
wall 0 23 24
wall 0 24 24
wall 0 25 24
wall 0 26 24
wall 0 27 24
wall 0 28 24
wall 0 29 24
wall 1 21 25
wall 1 21 26
wall 0 1 27
wall 0 2 27
wall 0 3 27
wall 0 4 27
wall 0 5 27
wall 0 6 27
wall 0 7 27
wall 0 8 27
wall 0 9 27
wall 0 10 27
wall 0 11 27
wall 0 12 27
wall 0 13 27
wall 0 14 27
wall 0 15 27
wall 1 18 27
wall 0 21 27
wall 0 22 27
wall 0 23 27
wall 0 24 27
wall 0 25 27
wall 0 26 27
wall 0 27 27
wall 1 18 28
wall 1 18 29
